song_name,FAA,FAP,OASI,TBR
Chim_Chim_Cheree_(lyrics),0.002608535782457922,-22.968655580794508,-23.005750328552363,0.04070716691633243
Chim_Chim_Cheree_(no_lyrics),0.0024645839779706504,-22.974058585992566,-23.00731954950306,0.03404375166661825
Eine_Kleine_Nachtmusik,0.0029895410096951675,-22.967748041575824,-23.00288692310545,0.038654516370779546
Emperor_Waltz,0.0023703027121824254,-22.97452103737384,-23.00334945758151,0.04074513684564465
Harry_Potter_Theme,0.004772676275042176,-22.96994860004649,-23.005592232191553,0.038472657172215374
Jingle_Bells_(lyrics),0.004823203387574339,-22.964792939638098,-23.005636836051323,0.04282416212840723
Jingle_Bells_(no_lyrics),0.0037401027239267613,-22.97490353516016,-23.00288778513302,0.03649707627647975
Mary_Had_a_Little_Lamb_(lyrics),0.003988198487237846,-22.965638657271242,-23.003553647740475,0.040853307314975176
Mary_Had_a_Little_Lamb_(no_lyrics),0.0001624552988106499,-22.983701808762206,-23.00784730564431,0.0397287061874866
Star_Wars_Theme,0.0007789441381654093,-22.977893370716835,-23.006100005310383,0.038345440852996876
Take_me_out_to_the_ballgame_(lyrics),0.0018717266054908304,-22.97043723782809,-23.005886209620396,0.0399314792775252
Take_me_out_to_the_ballgame_(no_lyrics),0.0034013805246440034,-22.97389134755298,-23.003896999845278,0.0351343829187886
